date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-03-18,72.53,72.88,69.87,69.85,852181.12,-2.27,-3.15,73.074,76.42,78.388,969945.09,875804.73,857605.94
2020-03-17,71.65,73.0,72.14,70.89,950922.88,0.14,0.19,74.73,77.491,78.98,917789.65,858344.07,838020.59
2020-03-16,74.5,74.52,72.0,71.8,979173.44,-2.71,-3.63,76.138,78.226,79.45,871006.38,831075.62,816134.45
2020-03-13,72.14,75.98,74.71,72.1,1166157.5,-1.94,-2.53,77.366,78.984,79.97,886188.21,804390.61,801081.72
2020-03-12,77.25,77.48,76.65,76.53,901290.5,-1.5,-1.92,78.606,79.285,80.284,769793.92,786167.18,764212.11
2020-03-11,79.18,79.25,78.15,78.15,591403.94,-1.03,-1.3,79.766,79.599,80.474,781664.36,762717.44,747277.79
2020-03-10,78.14,79.78,79.18,77.83,717006.5,1.04,1.33,80.252,79.767,80.627,798898.49,787993.7,739924.54
2020-03-09,78.91,79.0,78.14,78.02,1055082.62,-2.77,-3.42,80.314,79.868,80.724,791144.86,803193.14,733290.33
2020-03-06,81.57,81.92,80.91,80.8,584186.06,-1.54,-1.87,80.602,80.126,80.832,722593.01,801195.18,710216.42
2020-03-05,81.01,82.76,82.45,80.62,960642.69,1.87,2.32,79.964,80.273,80.838,802540.43,852167.16,705588.64
2020-03-04,79.9,80.75,80.58,79.9,677574.56,1.09,1.37,79.432,80.356,80.792,743770.53,839407.15,691165.99
2020-03-03,80.48,80.57,79.49,79.26,678238.38,-0.09,-0.11,79.282,80.468,80.782,777088.91,817697.11,694947.11
2020-03-02,78.32,80.2,79.58,78.32,712323.38,1.86,2.39,79.422,80.674,80.829,815241.43,801193.29,721709.22
2020-02-28,78.6,79.29,77.72,77.71,983923.12,-2.07,-2.59,79.65,80.955,80.735,879797.34,797772.83,787667.98
2020-02-27,79.6,80.4,79.79,79.3,666793.19,-0.04,-0.05,80.582,81.283,81.024,901793.89,742257.05,792472.86
2020-02-26,79.45,80.76,79.83,79.11,844166.5,-0.36,-0.45,81.28,81.349,81.295,935043.76,731838.13,795962.04
2020-02-25,79.8,80.32,80.19,79.51,869000.94,-0.53,-0.66,81.654,81.486,81.584,858305.3,691855.38,790132.69
2020-02-24,81.0,81.3,80.72,80.5,1035102.94,-1.66,-2.02,81.926,81.58,81.954,787145.15,663387.51,793485.17
2020-02-21,82.5,83.23,82.38,82.0,1093905.88,-0.9,-1.08,82.26,81.538,82.231,715748.33,619237.66,769498.53
2020-02-20,82.0,83.61,83.28,81.35,833042.56,1.58,1.93,81.984,81.403,82.389,582720.22,559010.13,739732.2
2020-02-19,81.03,82.24,81.7,81.01,460474.16,0.15,0.18,81.418,81.227,82.516,528632.49,542924.84,724390.9
2020-02-18,81.81,82.11,81.55,81.44,513200.22,-0.84,-1.02,81.318,81.095,82.772,525405.47,572197.12,737201.28
2020-02-17,81.0,82.49,82.39,80.7,678118.81,1.39,1.72,81.234,80.983,83.017,539629.86,642225.15,752070.7
2020-02-14,80.37,81.26,81.0,80.21,428765.34,0.55,0.68,80.816,80.515,83.137,522727.0,777563.13,744457.99
2020-02-13,81.2,81.2,80.45,80.36,562603.94,-0.75,-0.92,80.822,80.764,83.339,535300.04,842688.66,752955.32
2020-02-12,81.1,81.46,81.2,80.55,444339.03,0.07,0.09,81.036,81.241,83.566,557217.19,860085.95,756227.78
2020-02-11,80.89,81.86,81.13,80.5,584322.19,0.83,1.03,80.872,81.681,83.814,618988.78,888409.99,756620.25
2020-02-10,80.35,80.64,80.3,79.9,593604.5,-0.73,-0.9,80.732,82.328,84.037,744820.44,923582.84,759226.54
2020-02-07,80.6,81.2,81.03,80.42,491630.56,-0.49,-0.6,80.214,82.923,84.332,1032399.26,919759.41,759295.32
2020-02-06,81.18,81.97,81.52,80.38,672189.69,1.14,1.42,80.706,83.375,84.587,1150077.27,920454.26,773626.39
2020-02-05,80.56,81.33,80.38,79.76,753196.94,-0.05,-0.06,81.446,83.804,84.784,1162954.71,905856.95,761618.72
